epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.085583,0.09799999743700027,0.098000,0.085583,6.556,6.6
1,0.084417,,0.098000,0.085583,0.714,7.3
2,0.084483,,0.098000,0.085583,1.098,8.4
3,0.086100,,0.098000,0.086100,1.037,9.4
4,0.084083,,0.098000,0.086100,1.099,10.5
5,0.084050,,0.098000,0.086100,1.030,11.5
6,0.082867,,0.098000,0.086100,1.102,12.6
7,0.084000,,0.098000,0.086100,1.042,13.7
8,0.083533,,0.098000,0.086100,1.101,14.8
9,0.085700,,0.098000,0.086100,1.032,15.8
10,0.082600,,0.098000,0.086100,1.103,16.9
11,0.086617,,0.098000,0.086617,1.042,18.0
12,0.084650,,0.098000,0.086617,1.106,19.1
13,0.086017,,0.098000,0.086617,1.035,20.1
14,0.086967,,0.098000,0.086967,1.109,21.2
15,0.085767,,0.098000,0.086967,1.038,22.2
16,0.085917,,0.098000,0.086967,1.096,23.3
17,0.087283,,0.098000,0.087283,1.045,24.4
18,0.087967,,0.098000,0.087967,1.106,25.5
19,0.088117,,0.098000,0.088117,1.033,26.5
20,0.090150,,0.098000,0.090150,1.150,27.7
21,0.092867,,0.098000,0.092867,1.038,28.7
22,0.091767,,0.098000,0.092867,1.105,29.8
23,0.089717,,0.098000,0.092867,1.032,30.8
24,0.093733,,0.098000,0.093733,1.106,32.0
25,0.092733,,0.098000,0.093733,1.037,33.0
26,0.095833,,0.098000,0.095833,1.097,34.1
27,0.096650,,0.098000,0.096650,1.039,35.1
28,0.098967,,0.098000,0.098967,1.109,36.2
29,0.100000,,0.098000,0.100000,1.038,37.3
30,0.099217,,0.098000,0.100000,1.102,38.4
31,0.102150,,0.098000,0.102150,1.035,39.4
32,0.103633,,0.098000,0.103633,1.106,40.5
33,0.105267,,0.098000,0.105267,1.040,41.6
34,0.108450,,0.098000,0.108450,1.104,42.7
35,0.107133,,0.098000,0.108450,1.036,43.7
36,0.106900,,0.098000,0.108450,1.107,44.8
37,0.109483,,0.098000,0.109483,1.036,45.8
38,0.109417,,0.098000,0.109483,1.100,46.9
39,0.107433,,0.098000,0.109483,1.038,48.0
40,0.111100,,0.098000,0.111100,1.103,49.1
41,0.112483,,0.098000,0.112483,1.050,50.1
42,0.109917,,0.098000,0.112483,1.098,51.2
43,0.112850,,0.098000,0.112850,1.038,52.3
44,0.113783,,0.098000,0.113783,1.094,53.4
45,0.114583,,0.098000,0.114583,1.039,54.4
46,0.114667,,0.098000,0.114667,1.113,55.5
47,0.114383,,0.098000,0.114667,1.035,56.6
48,0.116350,,0.098000,0.116350,1.169,57.7
49,0.115267,,0.098000,0.116350,1.039,58.8
50,0.115583,0.09910000115633011,0.099100,0.116350,1.505,60.3
51,0.115317,,0.099100,0.116350,0.646,60.9
52,0.116767,,0.099100,0.116767,1.110,62.0
53,0.116433,,0.099100,0.116767,1.037,63.1
54,0.116900,,0.099100,0.116900,1.101,64.2
55,0.117583,,0.099100,0.117583,1.038,65.2
