epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.085367,0.09799999743700027,0.098000,0.085367,5.987,6.0
1,0.084050,,0.098000,0.085367,0.282,6.3
2,0.085067,,0.098000,0.085367,0.309,6.6
3,0.083850,,0.098000,0.085367,0.309,6.9
4,0.083717,,0.098000,0.085367,0.312,7.2
5,0.085633,,0.098000,0.085633,0.375,7.6
6,0.082733,,0.098000,0.085633,0.308,7.9
7,0.084767,,0.098000,0.085633,0.308,8.2
8,0.085400,,0.098000,0.085633,0.308,8.5
9,0.086617,,0.098000,0.086617,0.305,8.8
10,0.085733,,0.098000,0.086617,0.305,9.1
11,0.085367,,0.098000,0.086617,0.376,9.5
12,0.085000,,0.098000,0.086617,0.309,9.8
13,0.085583,,0.098000,0.086617,0.306,10.1
14,0.083183,,0.098000,0.086617,0.305,10.4
15,0.086417,,0.098000,0.086617,0.310,10.7
16,0.086067,,0.098000,0.086617,0.298,11.0
17,0.086883,,0.098000,0.086883,0.311,11.3
18,0.089150,,0.098000,0.089150,0.375,11.7
19,0.087450,,0.098000,0.089150,0.304,12.0
20,0.087567,,0.098000,0.089150,0.310,12.3
21,0.088467,,0.098000,0.089150,0.309,12.6
22,0.090300,,0.098000,0.090300,0.310,12.9
23,0.089950,,0.098000,0.090300,0.307,13.2
24,0.090650,,0.098000,0.090650,0.371,13.6
25,0.093333,,0.098000,0.093333,0.307,13.9
26,0.093533,,0.098000,0.093533,0.305,14.2
27,0.093017,,0.098000,0.093533,0.311,14.5
28,0.092633,,0.098000,0.093533,0.308,14.8
29,0.095350,,0.098000,0.095350,0.309,15.2
30,0.098283,,0.098000,0.098283,0.358,15.5
31,0.100167,,0.098000,0.100167,0.307,15.8
32,0.100483,,0.098000,0.100483,0.311,16.1
33,0.100833,,0.098000,0.100833,0.328,16.5
34,0.102067,,0.098000,0.102067,0.305,16.8
35,0.103567,,0.098000,0.103567,0.306,17.1
36,0.105050,,0.098000,0.105050,0.308,17.4
37,0.104267,,0.098000,0.105050,0.373,17.7
38,0.104400,,0.098000,0.105050,0.304,18.1
39,0.105667,,0.098000,0.105667,0.305,18.4
40,0.106783,,0.098000,0.106783,0.306,18.7
41,0.106467,,0.098000,0.106783,0.306,19.0
42,0.105950,,0.098000,0.106783,0.307,19.3
43,0.107950,,0.098000,0.107950,0.305,19.6
44,0.110967,,0.098000,0.110967,0.375,20.0
45,0.108700,,0.098000,0.110967,0.307,20.3
46,0.111567,,0.098000,0.111567,0.308,20.6
47,0.111300,,0.098000,0.111567,0.312,20.9
48,0.111450,,0.098000,0.111567,0.310,21.2
49,0.109700,,0.098000,0.111567,0.307,21.5
50,0.111217,0.11309999972581863,0.113100,0.111567,0.422,21.9
51,0.113133,,0.113100,0.113133,0.278,22.2
52,0.112833,,0.113100,0.113133,0.310,22.5
53,0.112217,,0.113100,0.113133,0.307,22.8
54,0.112067,,0.113100,0.113133,0.307,23.1
55,0.112883,,0.113100,0.113133,0.307,23.4
56,0.115217,,0.113100,0.115217,0.306,23.7
57,0.113550,,0.113100,0.115217,0.306,24.0
58,0.112617,,0.113100,0.115217,0.373,24.4
59,0.116933,,0.113100,0.116933,0.306,24.7
60,0.115717,,0.113100,0.116933,0.308,25.0
61,0.116383,,0.113100,0.116933,0.307,25.3
62,0.116600,,0.113100,0.116933,0.306,25.6
63,0.118733,,0.113100,0.118733,0.306,25.9
64,0.117117,,0.113100,0.118733,0.306,26.3
65,0.117683,,0.113100,0.118733,0.374,26.6
66,0.118317,,0.113100,0.118733,0.310,26.9
67,0.119067,,0.113100,0.119067,0.308,27.2
68,0.118483,,0.113100,0.119067,0.307,27.6
69,0.121517,,0.113100,0.121517,0.306,27.9
70,0.120850,,0.113100,0.121517,0.310,28.2
71,0.120267,,0.113100,0.121517,0.308,28.5
72,0.119600,,0.113100,0.121517,0.374,28.9
73,0.122283,,0.113100,0.122283,0.309,29.2
74,0.123917,,0.113100,0.123917,0.307,29.5
75,0.123267,,0.113100,0.123917,0.311,29.8
76,0.124233,,0.113100,0.124233,0.310,30.1
77,0.123067,,0.113100,0.124233,0.307,30.4
78,0.125733,,0.113100,0.125733,0.308,30.7
79,0.124100,,0.113100,0.125733,0.377,31.1
80,0.124283,,0.113100,0.125733,0.304,31.4
81,0.124333,,0.113100,0.125733,0.310,31.7
82,0.125917,,0.113100,0.125917,0.308,32.0
83,0.126350,,0.113100,0.126350,0.308,32.3
84,0.125650,,0.113100,0.126350,0.309,32.6
85,0.126650,,0.113100,0.126650,0.307,32.9
86,0.126833,,0.113100,0.126833,0.377,33.3
87,0.127783,,0.113100,0.127783,0.305,33.6
88,0.127183,,0.113100,0.127783,0.310,33.9
89,0.128317,,0.113100,0.128317,0.308,34.2
90,0.131183,,0.113100,0.131183,0.310,34.5
91,0.131583,,0.113100,0.131583,0.305,34.8
92,0.131567,,0.113100,0.131583,0.306,35.1
93,0.131667,,0.113100,0.131667,0.373,35.5
94,0.131883,,0.113100,0.131883,0.308,35.8
95,0.132800,,0.113100,0.132800,0.306,36.1
96,0.132867,,0.113100,0.132867,0.305,36.4
97,0.133200,,0.113100,0.133200,0.310,36.7
98,0.136117,,0.113100,0.136117,0.308,37.1
99,0.135517,,0.113100,0.136117,0.308,37.4
100,0.137150,0.1403999924659729,0.140400,0.137150,0.484,37.8
101,0.136200,,0.140400,0.137150,0.210,38.1
102,0.137900,,0.140400,0.137900,0.311,38.4
103,0.136417,,0.140400,0.137900,0.307,38.7
104,0.140083,,0.140400,0.140083,0.308,39.0
105,0.139150,,0.140400,0.140083,0.308,39.3
106,0.140733,,0.140400,0.140733,0.308,39.6
107,0.140200,,0.140400,0.140733,0.373,40.0
108,0.140717,,0.140400,0.140733,0.310,40.3
109,0.142267,,0.140400,0.142267,0.305,40.6
110,0.142983,,0.140400,0.142983,0.306,40.9
111,0.142900,,0.140400,0.142983,0.306,41.2
112,0.143900,,0.140400,0.143900,0.304,41.5
113,0.146917,,0.140400,0.146917,0.308,41.8
114,0.145867,,0.140400,0.146917,0.378,42.2
115,0.146350,,0.140400,0.146917,0.308,42.5
116,0.146433,,0.140400,0.146917,0.308,42.8
117,0.150533,,0.140400,0.150533,0.309,43.1
118,0.152583,,0.140400,0.152583,0.311,43.4
119,0.151983,,0.140400,0.152583,0.305,43.7
120,0.152167,,0.140400,0.152583,0.308,44.0
121,0.154533,,0.140400,0.154533,0.371,44.4
122,0.155550,,0.140400,0.155550,0.308,44.7
123,0.158733,,0.140400,0.158733,0.311,45.0
124,0.160317,,0.140400,0.160317,0.312,45.3
125,0.163133,,0.140400,0.163133,0.312,45.7
126,0.162433,,0.140400,0.163133,0.307,46.0
127,0.163233,,0.140400,0.163233,0.354,46.3
128,0.165867,,0.140400,0.165867,0.373,46.7
129,0.167350,,0.140400,0.167350,0.307,47.0
130,0.167400,,0.140400,0.167400,0.308,47.3
131,0.170017,,0.140400,0.170017,0.312,47.6
132,0.172083,,0.140400,0.172083,0.310,47.9
133,0.174800,,0.140400,0.174800,0.308,48.2
134,0.175367,,0.140400,0.175367,0.306,48.5
135,0.176467,,0.140400,0.176467,0.376,48.9
136,0.178550,,0.140400,0.178550,0.305,49.2
137,0.180750,,0.140400,0.180750,0.307,49.5
138,0.183383,,0.140400,0.183383,0.313,49.8
139,0.183850,,0.140400,0.183850,0.308,50.1
140,0.187200,,0.140400,0.187200,0.307,50.5
141,0.191067,,0.140400,0.191067,0.310,50.8
142,0.191733,,0.140400,0.191733,0.377,51.1
143,0.191450,,0.140400,0.191733,0.306,51.4
144,0.196683,,0.140400,0.196683,0.307,51.7
145,0.197517,,0.140400,0.197517,0.307,52.1
146,0.199567,,0.140400,0.199567,0.307,52.4
147,0.199750,,0.140400,0.199750,0.306,52.7
148,0.202800,,0.140400,0.202800,0.307,53.0
149,0.205883,,0.140400,0.205883,0.374,53.4
150,0.207517,0.2692999839782715,0.269300,0.207517,0.424,53.8
151,0.211750,,0.269300,0.211750,0.209,54.0
152,0.213833,,0.269300,0.213833,0.304,54.3
153,0.216617,,0.269300,0.216617,0.308,54.6
154,0.219633,,0.269300,0.219633,0.308,54.9
155,0.218483,,0.269300,0.219633,0.307,55.2
156,0.222500,,0.269300,0.222500,0.380,55.6
157,0.225617,,0.269300,0.225617,0.308,55.9
158,0.227617,,0.269300,0.227617,0.310,56.2
159,0.230067,,0.269300,0.230067,0.310,56.5
160,0.230483,,0.269300,0.230483,0.306,56.8
161,0.233817,,0.269300,0.233817,0.309,57.1
162,0.238133,,0.269300,0.238133,0.310,57.4
163,0.239783,,0.269300,0.239783,0.372,57.8
164,0.243733,,0.269300,0.243733,0.308,58.1
165,0.244767,,0.269300,0.244767,0.307,58.4
166,0.248450,,0.269300,0.248450,0.307,58.7
167,0.249050,,0.269300,0.249050,0.312,59.1
168,0.252250,,0.269300,0.252250,0.307,59.4
169,0.254500,,0.269300,0.254500,0.309,59.7
170,0.258433,,0.269300,0.258433,0.374,60.0
171,0.257917,,0.269300,0.258433,0.307,60.3
172,0.264133,,0.269300,0.264133,0.306,60.7
173,0.265100,,0.269300,0.265100,0.312,61.0
174,0.266950,,0.269300,0.266950,0.309,61.3
175,0.269167,,0.269300,0.269167,0.317,61.6
176,0.270800,,0.269300,0.270800,0.314,61.9
177,0.273117,,0.269300,0.273117,0.376,62.3
178,0.276767,,0.269300,0.276767,0.306,62.6
179,0.278833,,0.269300,0.278833,0.307,62.9
180,0.279333,,0.269300,0.279333,0.305,63.2
181,0.280450,,0.269300,0.280450,0.307,63.5
182,0.283017,,0.269300,0.283017,0.308,63.8
183,0.284133,,0.269300,0.284133,0.307,64.1
184,0.286517,,0.269300,0.286517,0.373,64.5
185,0.289733,,0.269300,0.289733,0.309,64.8
186,0.288900,,0.269300,0.289733,0.308,65.1
187,0.291317,,0.269300,0.291317,0.307,65.4
188,0.292350,,0.269300,0.292350,0.308,65.7
189,0.293400,,0.269300,0.293400,0.309,66.0
190,0.298383,,0.269300,0.298383,0.309,66.3
191,0.300083,,0.269300,0.300083,0.374,66.7
192,0.300150,,0.269300,0.300150,0.307,67.0
193,0.302150,,0.269300,0.302150,0.307,67.3
194,0.301267,,0.269300,0.302150,0.307,67.6
195,0.306967,,0.269300,0.306967,0.307,67.9
196,0.306517,,0.269300,0.306967,0.308,68.3
197,0.307150,,0.269300,0.307150,0.304,68.6
198,0.309650,,0.269300,0.309650,0.376,68.9
199,0.311967,,0.269300,0.311967,0.308,69.2
200,0.312333,0.3499999940395355,0.350000,0.312333,0.419,69.7
201,0.313517,,0.350000,0.313517,0.209,69.9
202,0.316733,,0.350000,0.316733,0.310,70.2
203,0.316467,,0.350000,0.316733,0.311,70.5
204,0.316300,,0.350000,0.316733,0.311,70.8
205,0.321200,,0.350000,0.321200,0.379,71.2
206,0.320767,,0.350000,0.321200,0.310,71.5
207,0.321767,,0.350000,0.321767,0.309,71.8
208,0.325150,,0.350000,0.325150,0.309,72.1
209,0.325367,,0.350000,0.325367,0.311,72.4
210,0.325017,,0.350000,0.325367,0.309,72.7
211,0.327117,,0.350000,0.327117,0.301,73.0
212,0.327400,,0.350000,0.327400,0.379,73.4
213,0.328133,,0.350000,0.328133,0.315,73.7
214,0.328917,,0.350000,0.328917,0.315,74.0
215,0.331200,,0.350000,0.331200,0.311,74.3
216,0.333600,,0.350000,0.333600,0.308,74.7
217,0.335333,,0.350000,0.335333,0.310,75.0
218,0.337633,,0.350000,0.337633,0.311,75.3
