epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.085817,0.09799999743700027,0.098000,0.085817,5.712,5.7
1,0.086417,,0.098000,0.086417,0.207,5.9
2,0.085450,,0.098000,0.086417,0.185,6.1
3,0.085000,,0.098000,0.086417,0.249,6.4
4,0.084550,,0.098000,0.086417,0.186,6.5
5,0.084050,,0.098000,0.086417,0.188,6.7
6,0.083317,,0.098000,0.086417,0.186,6.9
7,0.087250,,0.098000,0.087250,0.184,7.1
8,0.085083,,0.098000,0.087250,0.184,7.3
9,0.084083,,0.098000,0.087250,0.185,7.5
10,0.085267,,0.098000,0.087250,0.188,7.7
11,0.086633,,0.098000,0.087250,0.184,7.8
12,0.085450,,0.098000,0.087250,0.186,8.0
13,0.087883,,0.098000,0.087883,0.205,8.2
14,0.086617,,0.098000,0.087883,0.189,8.4
15,0.087783,,0.098000,0.087883,0.185,8.6
16,0.087517,,0.098000,0.087883,0.176,8.8
17,0.089567,,0.098000,0.089567,0.185,9.0
18,0.090233,,0.098000,0.090233,0.186,9.1
19,0.088917,,0.098000,0.090233,0.183,9.3
20,0.090600,,0.098000,0.090600,0.187,9.5
21,0.089950,,0.098000,0.090600,0.183,9.7
22,0.093250,,0.098000,0.093250,0.184,9.9
23,0.092700,,0.098000,0.093250,0.184,10.1
24,0.094033,,0.098000,0.094033,0.250,10.3
25,0.093383,,0.098000,0.094033,0.187,10.5
26,0.096350,,0.098000,0.096350,0.189,10.7
27,0.096700,,0.098000,0.096700,0.186,10.9
28,0.097267,,0.098000,0.097267,0.185,11.1
29,0.102117,,0.098000,0.102117,0.187,11.3
30,0.104800,,0.098000,0.104800,0.184,11.4
31,0.101383,,0.098000,0.104800,0.188,11.6
32,0.104100,,0.098000,0.104800,0.189,11.8
33,0.103183,,0.098000,0.104800,0.184,12.0
34,0.106183,,0.098000,0.106183,0.187,12.2
35,0.106400,,0.098000,0.106400,0.252,12.4
36,0.105983,,0.098000,0.106400,0.186,12.6
37,0.108933,,0.098000,0.108933,0.186,12.8
38,0.109883,,0.098000,0.109883,0.183,13.0
39,0.109000,,0.098000,0.109883,0.187,13.2
40,0.110350,,0.098000,0.110350,0.189,13.4
41,0.111783,,0.098000,0.111783,0.184,13.6
42,0.113283,,0.098000,0.113283,0.186,13.7
43,0.112067,,0.098000,0.113283,0.185,13.9
44,0.112733,,0.098000,0.113283,0.185,14.1
45,0.111917,,0.098000,0.113283,0.186,14.3
46,0.113633,,0.098000,0.113633,0.245,14.5
47,0.111967,,0.098000,0.113633,0.188,14.7
48,0.113633,,0.098000,0.113633,0.186,14.9
49,0.115250,,0.098000,0.115250,0.186,15.1
50,0.111933,0.09889999777078629,0.098900,0.115250,0.247,15.3
51,0.118083,,0.098900,0.118083,0.139,15.5
52,0.115600,,0.098900,0.118083,0.184,15.7
53,0.116133,,0.098900,0.118083,0.184,15.9
54,0.118017,,0.098900,0.118083,0.187,16.0
55,0.117517,,0.098900,0.118083,0.185,16.2
56,0.115667,,0.098900,0.118083,0.187,16.4
57,0.118517,,0.098900,0.118517,0.262,16.7
58,0.118433,,0.098900,0.118517,0.187,16.9
59,0.120183,,0.098900,0.120183,0.186,17.0
60,0.119933,,0.098900,0.120183,0.189,17.2
