rank,batch,epochs,val_acc,best_train,s_per_epoch,time_s
4,12000,1000,0.62109375,0.612583339214325,0.68282,31
8,12000,1000,0.6220703125,0.6149166822433472,0.42156,27
16,12000,1000,0.6494140625,0.6389999985694885,0.43069,29
32,12000,1000,0.7294921875,0.7076666355133057,0.47771,33
64,12000,1000,0.7587890625,0.7275000214576721,0.53659,44
