epoch,train_acc,val_acc,best_val,best_train,epoch_time,cum_time
0,0.086033,0.09800000488758087,0.098000,0.086033,6.012,6.0
1,0.084300,,0.098000,0.086033,4.412,10.4
2,0.084783,,0.098000,0.086033,0.127,10.6
3,0.084150,,0.098000,0.086033,0.119,10.7
4,0.084083,,0.098000,0.086033,0.118,10.8
5,0.086250,,0.098000,0.086250,0.120,10.9
6,0.083383,,0.098000,0.086250,0.139,11.0
7,0.084217,,0.098000,0.086250,0.134,11.2
8,0.085167,,0.098000,0.086250,0.118,11.3
9,0.085983,,0.098000,0.086250,0.118,11.4
10,0.085717,,0.098000,0.086250,0.118,11.5
11,0.084767,,0.098000,0.086250,0.118,11.7
12,0.084700,,0.098000,0.086250,0.120,11.8
13,0.085333,,0.098000,0.086250,0.132,11.9
14,0.084083,,0.098000,0.086250,0.119,12.0
15,0.084333,,0.098000,0.086250,0.118,12.1
16,0.084750,,0.098000,0.086250,0.117,12.3
17,0.085783,,0.098000,0.086250,0.117,12.4
18,0.086833,,0.098000,0.086833,0.117,12.5
19,0.087367,,0.098000,0.087367,0.126,12.6
20,0.086483,,0.098000,0.087367,0.119,12.7
21,0.088550,,0.098000,0.088550,0.119,12.9
22,0.087717,,0.098000,0.088550,0.118,13.0
23,0.090367,,0.098000,0.090367,0.123,13.1
24,0.092033,,0.098000,0.092033,0.137,13.2
25,0.092550,,0.098000,0.092550,0.116,13.4
26,0.093417,,0.098000,0.093417,0.119,13.5
27,0.094767,,0.098000,0.094767,0.118,13.6
28,0.095350,,0.098000,0.095350,0.119,13.7
29,0.097500,,0.098000,0.097500,0.116,13.8
30,0.100100,,0.098000,0.100100,0.119,13.9
31,0.099600,,0.098000,0.100100,0.117,14.1
32,0.101717,,0.098000,0.101717,0.120,14.2
33,0.102550,,0.098000,0.102550,0.118,14.3
34,0.102017,,0.098000,0.102550,0.125,14.4
35,0.102117,,0.098000,0.102550,0.117,14.5
36,0.104683,,0.098000,0.104683,0.128,14.7
