epoch,train_acc,val_acc,best_val,best_train,w_err,cos_o,epoch_time,cum_time
98,0.097817,,0.086500,0.103683,,,0.364,54.4
99,0.101100,,0.086500,0.103683,,,0.360,54.7
100,0.102150,,0.086500,0.103683,,,0.361,55.1
101,0.101700,,0.086500,0.103683,,,0.429,55.5
102,0.101817,,0.086500,0.103683,,,0.363,55.9
103,0.101817,,0.086500,0.103683,,,0.361,56.2
104,0.100783,,0.086500,0.103683,,,0.360,56.6
105,0.101383,,0.086500,0.103683,,,0.363,57.0
106,0.101567,,0.086500,0.103683,,,0.360,57.3
107,0.099650,,0.086500,0.103683,,,0.431,57.7
108,0.102167,,0.086500,0.103683,,,0.362,58.1
109,0.100800,,0.086500,0.103683,,,0.360,58.5
110,0.103533,,0.086500,0.103683,,,0.364,58.8
111,0.098617,,0.086500,0.103683,,,0.397,59.2
112,0.102950,,0.086500,0.103683,,,0.362,59.6
113,0.101250,,0.086500,0.103683,,,0.427,60.0
114,0.101533,,0.086500,0.103683,,,0.361,60.4
115,0.103083,,0.086500,0.103683,,,0.359,60.7
116,0.100117,,0.086500,0.103683,,,0.361,61.1
117,0.101050,,0.086500,0.103683,,,0.372,61.5
118,0.101600,,0.086500,0.103683,,,0.359,61.8
119,0.100583,,0.086500,0.103683,,,0.427,62.3
120,0.098450,,0.086500,0.103683,,,0.360,62.6
121,0.101383,,0.086500,0.103683,,,0.362,63.0
122,0.102800,,0.086500,0.103683,,,0.361,63.3
123,0.102383,,0.086500,0.103683,,,0.363,63.7
124,0.102567,,0.086500,0.103683,,,0.362,64.1
125,0.102267,,0.086500,0.103683,,,0.427,64.5
126,0.102200,,0.086500,0.103683,,,0.365,64.9
127,0.100600,,0.086500,0.103683,,,0.360,65.2
128,0.101583,,0.086500,0.103683,,,0.361,65.6
129,0.099633,,0.086500,0.103683,,,0.360,65.9
130,0.100850,,0.086500,0.103683,,,0.362,66.3
131,0.098733,,0.086500,0.103683,,,0.427,66.7
132,0.101183,,0.086500,0.103683,,,0.363,67.1
133,0.103383,,0.086500,0.103683,,,0.361,67.5
134,0.100517,,0.086500,0.103683,,,0.360,67.8
135,0.099133,,0.086500,0.103683,,,0.363,68.2
136,0.101550,,0.086500,0.103683,,,0.359,68.5
137,0.101117,,0.086500,0.103683,,,0.429,69.0
138,0.100050,,0.086500,0.103683,,,0.365,69.3
139,0.100667,,0.086500,0.103683,,,0.362,69.7
140,0.100050,,0.086500,0.103683,,,0.360,70.1
141,0.101500,,0.086500,0.103683,,,0.362,70.4
142,0.098133,,0.086500,0.103683,,,0.360,70.8
143,0.100633,,0.086500,0.103683,,,0.426,71.2
144,0.099483,,0.086500,0.103683,,,0.361,71.6
145,0.100583,,0.086500,0.103683,,,0.361,71.9
146,0.100367,,0.086500,0.103683,,,0.359,72.3
147,0.099300,,0.086500,0.103683,,,0.366,72.6
148,0.098567,,0.086500,0.103683,,,0.367,73.0
149,0.101700,,0.086500,0.103683,,,0.435,73.4
150,0.099583,,0.086500,0.103683,,,0.371,73.8
151,0.098300,,0.086500,0.103683,,,0.365,74.2
152,0.101300,,0.086500,0.103683,,,0.368,74.6
153,0.100917,,0.086500,0.103683,,,0.348,74.9
154,0.098767,,0.086500,0.103683,,,0.344,75.2
155,0.098267,,0.086500,0.103683,,,0.415,75.7
156,0.099200,,0.086500,0.103683,,,0.350,76.0
157,0.098050,,0.086500,0.103683,,,0.346,76.4
158,0.101083,,0.086500,0.103683,,,0.345,76.7
159,0.099233,,0.086500,0.103683,,,0.347,77.0
160,0.097917,,0.086500,0.103683,,,0.346,77.4
161,0.099867,,0.086500,0.103683,,,0.415,77.8
162,0.103283,,0.086500,0.103683,,,0.349,78.2
163,0.098683,,0.086500,0.103683,,,0.345,78.5
164,0.101350,,0.086500,0.103683,,,0.349,78.9
165,0.100433,,0.086500,0.103683,,,0.348,79.2
166,0.098400,,0.086500,0.103683,,,0.345,79.5
167,0.102933,,0.086500,0.103683,,,0.413,80.0
168,0.098700,,0.086500,0.103683,,,0.349,80.3
169,0.099233,,0.086500,0.103683,,,0.346,80.7
170,0.097733,,0.086500,0.103683,,,0.346,81.0
171,0.098000,,0.086500,0.103683,,,0.349,81.3
172,0.098267,,0.086500,0.103683,,,0.344,81.7
173,0.099333,,0.086500,0.103683,,,0.415,82.1
174,0.102550,,0.086500,0.103683,,,0.348,82.5
175,0.101433,,0.086500,0.103683,,,0.345,82.8
176,0.101833,,0.086500,0.103683,,,0.349,83.1
