[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (fixed), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:26:00.368662     632 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: === 
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.908s/epoch
  epoch  2500 | val 0.534 | best_train 0.525 | v_th [0.351/0.236/7.210] | tau 20.000 | 86s
  epoch  2550 | val 0.546 | best_train 0.526 | v_th [0.258/0.308/7.315] | tau 20.000 | 87s
  epoch  2600 | val 0.548 | best_train 0.526 | v_th [0.346/0.327/7.105] | tau 20.000 | 89s
  epoch  2650 | val 0.558 | best_train 0.529 | v_th [0.397/0.344/7.133] | tau 20.000 | 91s
  epoch  2700 | val 0.543 | best_train 0.529 | v_th [0.343/0.303/7.345] | tau 20.000 | 92s
  epoch  2750 | val 0.535 | best_train 0.529 | v_th [0.353/0.266/7.434] | tau 20.000 | 94s
  epoch  2800 | val 0.536 | best_train 0.529 | v_th [0.372/0.271/7.470] | tau 20.000 | 95s
  epoch  2850 | val 0.533 | best_train 0.529 | v_th [0.329/0.272/7.683] | tau 20.000 | 97s
  epoch  2900 | val 0.534 | best_train 0.531 | v_th [0.351/0.284/7.832] | tau 20.000 | 99s
  epoch  2950 | val 0.545 | best_train 0.531 | v_th [0.360/0.285/7.939] | tau 20.000 | 100s
  epoch  3000 | val 0.545 | best_train 0.534 | v_th [0.402/0.268/7.855] | tau 20.000 | 102s
  epoch  3050 | val 0.537 | best_train 0.534 | v_th [0.370/0.287/7.730] | tau 20.000 | 104s
  epoch  3100 | val 0.543 | best_train 0.534 | v_th [0.337/0.293/7.820] | tau 20.000 | 105s
  epoch  3150 | val 0.542 | best_train 0.534 | v_th [0.378/0.337/7.797] | tau 20.000 | 107s
  epoch  3200 | val 0.541 | best_train 0.534 | v_th [0.468/0.263/7.954] | tau 20.000 | 109s
  epoch  3250 | val 0.541 | best_train 0.534 | v_th [0.456/0.268/7.884] | tau 20.000 | 110s
  epoch  3300 | val 0.546 | best_train 0.535 | v_th [0.472/0.301/7.992] | tau 20.000 | 112s
  epoch  3350 | val 0.557 | best_train 0.537 | v_th [0.370/0.304/8.084] | tau 20.000 | 114s
  epoch  3400 | val 0.541 | best_train 0.537 | v_th [0.434/0.343/8.030] | tau 20.000 | 115s
  epoch  3450 | val 0.532 | best_train 0.537 | v_th [0.432/0.337/7.971] | tau 20.000 | 117s
  epoch  3500 | val 0.540 | best_train 0.537 | v_th [0.467/0.333/8.129] | tau 20.000 | 119s
  epoch  3550 | val 0.538 | best_train 0.537 | v_th [0.403/0.354/8.302] | tau 20.000 | 121s
  epoch  3600 | val 0.546 | best_train 0.537 | v_th [0.409/0.391/8.428] | tau 20.000 | 122s
  epoch  3650 | val 0.542 | best_train 0.537 | v_th [0.470/0.423/8.542] | tau 20.000 | 124s
  epoch  3700 | val 0.542 | best_train 0.537 | v_th [0.481/0.362/8.693] | tau 20.000 | 125s
  epoch  3750 | val 0.538 | best_train 0.537 | v_th [0.423/0.375/8.724] | tau 20.000 | 127s
  epoch  3800 | val 0.540 | best_train 0.537 | v_th [0.456/0.423/8.487] | tau 20.000 | 129s
  epoch  3850 | val 0.548 | best_train 0.537 | v_th [0.389/0.442/8.630] | tau 20.000 | 131s
  epoch  3900 | val 0.544 | best_train 0.537 | v_th [0.381/0.444/8.757] | tau 20.000 | 132s
  epoch  3950 | val 0.541 | best_train 0.537 | v_th [0.467/0.421/8.910] | tau 20.000 | 134s
  epoch  4000 | val 0.546 | best_train 0.537 | v_th [0.384/0.428/8.963] | tau 20.000 | 135s
  epoch  4050 | val 0.544 | best_train 0.541 | v_th [0.429/0.434/8.893] | tau 20.000 | 137s
  epoch  4100 | val 0.557 | best_train 0.553 | v_th [0.543/0.375/8.834] | tau 20.000 | 139s
  epoch  4150 | val 0.552 | best_train 0.553 | v_th [0.489/0.342/9.115] | tau 20.000 | 141s
  epoch  4200 | val 0.563 | best_train 0.560 | v_th [0.572/0.351/9.043] | tau 20.000 | 142s
  epoch  4250 | val 0.569 | best_train 0.570 | v_th [0.439/0.349/9.371] | tau 20.000 | 144s
  epoch  4300 | val 0.570 | best_train 0.573 | v_th [0.416/0.372/9.428] | tau 20.000 | 146s
  epoch  4350 | val 0.588 | best_train 0.573 | v_th [0.531/0.324/9.453] | tau 20.000 | 147s
  epoch  4400 | val 0.594 | best_train 0.578 | v_th [0.494/0.341/9.428] | tau 20.000 | 149s
  epoch  4450 | val 0.593 | best_train 0.586 | v_th [0.535/0.374/9.430] | tau 20.000 | 151s
  epoch  4500 | val 0.593 | best_train 0.586 | v_th [0.488/0.420/9.539] | tau 20.000 | 152s
  epoch  4550 | val 0.606 | best_train 0.586 | v_th [0.541/0.444/9.503] | tau 20.000 | 154s
  epoch  4600 | val 0.596 | best_train 0.586 | v_th [0.612/0.418/9.573] | tau 20.000 | 156s
  epoch  4650 | val 0.580 | best_train 0.586 | v_th [0.664/0.394/9.724] | tau 20.000 | 157s
  epoch  4700 | val 0.593 | best_train 0.586 | v_th [0.564/0.383/9.905] | tau 20.000 | 159s
  epoch  4750 | val 0.599 | best_train 0.586 | v_th [0.567/0.381/9.993] | tau 20.000 | 161s
  epoch  4800 | val 0.589 | best_train 0.586 | v_th [0.640/0.366/9.859] | tau 20.000 | 162s
  epoch  4850 | val 0.600 | best_train 0.586 | v_th [0.584/0.426/9.801] | tau 20.000 | 164s
  epoch  4900 | val 0.589 | best_train 0.586 | v_th [0.568/0.407/9.874] | tau 20.000 | 166s
  epoch  4950 | val 0.600 | best_train 0.586 | v_th [0.500/0.406/9.977] | tau 20.000 | 167s
  epoch  5000 | val 0.589 | best_train 0.586 | v_th [0.486/0.413/10.064] | tau 20.000 | 169s
  epoch  5050 | val 0.594 | best_train 0.586 | v_th [0.438/0.458/10.194] | tau 20.000 | 171s
  epoch  5100 | val 0.596 | best_train 0.586 | v_th [0.403/0.463/10.167] | tau 20.000 | 172s
  epoch  5150 | val 0.598 | best_train 0.587 | v_th [0.512/0.419/10.312] | tau 20.000 | 174s
  epoch  5200 | val 0.585 | best_train 0.589 | v_th [0.550/0.414/10.076] | tau 20.000 | 176s
  epoch  5250 | val 0.612 | best_train 0.593 | v_th [0.504/0.445/10.031] | tau 20.000 | 177s
  epoch  5300 | val 0.592 | best_train 0.593 | v_th [0.555/0.470/9.762] | tau 20.000 | 179s
  epoch  5350 | val 0.593 | best_train 0.593 | v_th [0.461/0.522/9.793] | tau 20.000 | 181s
  epoch  5400 | val 0.603 | best_train 0.596 | v_th [0.513/0.523/9.622] | tau 20.000 | 183s
  epoch  5450 | val 0.596 | best_train 0.596 | v_th [0.554/0.512/9.732] | tau 20.000 | 184s
  epoch  5500 | val 0.600 | best_train 0.598 | v_th [0.467/0.580/9.903] | tau 20.000 | 186s
  epoch  5550 | val 0.599 | best_train 0.602 | v_th [0.472/0.519/9.923] | tau 20.000 | 188s
  epoch  5600 | val 0.607 | best_train 0.602 | v_th [0.519/0.426/10.370] | tau 20.000 | 189s
  epoch  5650 | val 0.601 | best_train 0.602 | v_th [0.604/0.424/10.390] | tau 20.000 | 191s
  epoch  5700 | val 0.598 | best_train 0.602 | v_th [0.499/0.453/10.401] | tau 20.000 | 193s
  epoch  5750 | val 0.591 | best_train 0.602 | v_th [0.485/0.488/10.377] | tau 20.000 | 194s
  epoch  5800 | val 0.604 | best_train 0.602 | v_th [0.494/0.517/10.144] | tau 20.000 | 196s
  epoch  5850 | val 0.607 | best_train 0.602 | v_th [0.584/0.494/10.363] | tau 20.000 | 198s
  epoch  5900 | val 0.611 | best_train 0.603 | v_th [0.685/0.469/10.435] | tau 20.000 | 199s
  epoch  5950 | val 0.611 | best_train 0.603 | v_th [0.693/0.462/10.565] | tau 20.000 | 201s
  epoch  6000 | val 0.615 | best_train 0.606 | v_th [0.661/0.473/10.579] | tau 20.000 | 203s
  epoch  6050 | val 0.613 | best_train 0.606 | v_th [0.589/0.454/10.919] | tau 20.000 | 204s
  epoch  6100 | val 0.608 | best_train 0.606 | v_th [0.598/0.482/10.889] | tau 20.000 | 206s
  epoch  6150 | val 0.604 | best_train 0.606 | v_th [0.674/0.470/10.806] | tau 20.000 | 208s
  epoch  6200 | val 0.600 | best_train 0.606 | v_th [0.774/0.485/10.831] | tau 20.000 | 209s
  epoch  6250 | val 0.614 | best_train 0.606 | v_th [0.782/0.441/11.106] | tau 20.000 | 211s
  epoch  6300 | val 0.614 | best_train 0.606 | v_th [0.766/0.405/11.360] | tau 20.000 | 213s
  epoch  6350 | val 0.605 | best_train 0.606 | v_th [0.813/0.390/11.524] | tau 20.000 | 215s
  epoch  6400 | val 0.604 | best_train 0.606 | v_th [0.724/0.384/11.748] | tau 20.000 | 216s
  epoch  6450 | val 0.611 | best_train 0.610 | v_th [0.676/0.370/11.886] | tau 20.000 | 218s
