ratio,batch,epochs,val_acc,best_train,s_per_epoch,time_s
0.1,6000,4000,0.69921875,0.7080000042915344,0.68945,54
0.2,12000,4000,0.74609375,0.7301666736602783,0.6275,92
0.3,18000,4000,0.751953125,0.7488333582878113,0.59392,126
0.4,24000,4000,0.755859375,0.7536666393280029,0.63078,176
