batch,lr,rank,epochs,val_acc,best_train,vth_final,tau_final,s_per_epoch,time_s
12000,0.03,32,1000,0.7568359375,0.7120000123977661,0.42674,20.0,0.80572,31
12000,0.03,32,1000,0.744140625,0.7080000042915344,0.39884,19.68342,0.81759,30
