[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
total_params = 134404 (含可训练 v_th)
hidden = [128, 128, 128], batch = 12000 (0.2x train), lr = 0.03 (cosine), sigma = 0.2, rank = 32, max_epochs = 10000
初始 v_th = [0.300/0.300/0.300], 初始 tau_m = 20.000 (VTH_PER_LAYER=True, TRAIN_TAU=False)
E0813 08:33:06.677982     510 cuda_executor.cc:1176] [0] Failed to allocate device memory of 4.00GiB (4294967296 bytes): RESOURCE_EXHAUSTED: : CUDA_ERROR_OUT_OF_MEMORY: out of memory
=== Source Location Trace: ===
external/xla/xla/stream_executor/cuda/cuda_status.cc:45
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:226
external/xla/xla/stream_executor/cuda/cuda_device_allocator.cc:403

LORA UPDATE (12000, 128, 32) (12000, 784, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 128, 32) (12000, 128, 32)
LORA UPDATE (12000, 10, 32) (12000, 128, 32)
  calib: 0.912s/epoch
  epoch  2500 | val 0.651 | best_train 0.633 | v_th [0.400/0.288/6.770] | tau 20.000 | 83s
  epoch  2550 | val 0.652 | best_train 0.633 | v_th [0.346/0.274/6.980] | tau 20.000 | 85s
  epoch  2600 | val 0.646 | best_train 0.633 | v_th [0.403/0.241/7.140] | tau 20.000 | 86s
  epoch  2650 | val 0.648 | best_train 0.637 | v_th [0.424/0.218/7.226] | tau 20.000 | 88s
  epoch  2700 | val 0.635 | best_train 0.637 | v_th [0.426/0.215/7.498] | tau 20.000 | 90s
  epoch  2750 | val 0.643 | best_train 0.637 | v_th [0.415/0.194/7.603] | tau 20.000 | 91s
  epoch  2800 | val 0.664 | best_train 0.642 | v_th [0.340/0.200/7.806] | tau 20.000 | 93s
  epoch  2850 | val 0.655 | best_train 0.643 | v_th [0.443/0.200/7.830] | tau 20.000 | 95s
  epoch  2900 | val 0.644 | best_train 0.649 | v_th [0.364/0.217/7.728] | tau 20.000 | 96s
  epoch  2950 | val 0.666 | best_train 0.649 | v_th [0.393/0.197/7.920] | tau 20.000 | 98s
  epoch  3000 | val 0.665 | best_train 0.654 | v_th [0.407/0.199/7.944] | tau 20.000 | 99s
  epoch  3050 | val 0.671 | best_train 0.654 | v_th [0.419/0.202/8.002] | tau 20.000 | 101s
  epoch  3100 | val 0.667 | best_train 0.654 | v_th [0.391/0.204/8.013] | tau 20.000 | 103s
  epoch  3150 | val 0.681 | best_train 0.657 | v_th [0.393/0.207/8.060] | tau 20.000 | 104s
  epoch  3200 | val 0.678 | best_train 0.657 | v_th [0.365/0.206/8.135] | tau 20.000 | 106s
  epoch  3250 | val 0.671 | best_train 0.657 | v_th [0.395/0.233/7.969] | tau 20.000 | 108s
  epoch  3300 | val 0.682 | best_train 0.657 | v_th [0.352/0.245/8.000] | tau 20.000 | 109s
  epoch  3350 | val 0.674 | best_train 0.657 | v_th [0.364/0.254/7.971] | tau 20.000 | 111s
  epoch  3400 | val 0.671 | best_train 0.657 | v_th [0.471/0.227/7.995] | tau 20.000 | 113s
  epoch  3450 | val 0.677 | best_train 0.657 | v_th [0.526/0.226/7.950] | tau 20.000 | 114s
  epoch  3500 | val 0.666 | best_train 0.658 | v_th [0.483/0.234/8.073] | tau 20.000 | 116s
  epoch  3550 | val 0.670 | best_train 0.658 | v_th [0.479/0.211/8.275] | tau 20.000 | 118s
  epoch  3600 | val 0.664 | best_train 0.659 | v_th [0.531/0.213/8.273] | tau 20.000 | 119s
  epoch  3650 | val 0.669 | best_train 0.659 | v_th [0.432/0.244/8.303] | tau 20.000 | 121s
  epoch  3700 | val 0.670 | best_train 0.662 | v_th [0.505/0.230/8.311] | tau 20.000 | 123s
  epoch  3750 | val 0.667 | best_train 0.662 | v_th [0.501/0.246/8.281] | tau 20.000 | 124s
  epoch  3800 | val 0.674 | best_train 0.662 | v_th [0.473/0.271/8.196] | tau 20.000 | 126s
  epoch  3850 | val 0.666 | best_train 0.662 | v_th [0.476/0.283/7.986] | tau 20.000 | 128s
  epoch  3900 | val 0.667 | best_train 0.662 | v_th [0.444/0.280/8.036] | tau 20.000 | 129s
  epoch  3950 | val 0.665 | best_train 0.662 | v_th [0.426/0.274/8.280] | tau 20.000 | 131s
  epoch  4000 | val 0.673 | best_train 0.662 | v_th [0.504/0.253/8.252] | tau 20.000 | 133s
  epoch  4050 | val 0.660 | best_train 0.662 | v_th [0.464/0.254/8.346] | tau 20.000 | 134s
  epoch  4100 | val 0.670 | best_train 0.662 | v_th [0.418/0.284/8.418] | tau 20.000 | 136s
  epoch  4150 | val 0.660 | best_train 0.662 | v_th [0.421/0.309/8.373] | tau 20.000 | 138s
  epoch  4200 | val 0.664 | best_train 0.662 | v_th [0.439/0.270/8.358] | tau 20.000 | 139s
  epoch  4250 | val 0.664 | best_train 0.662 | v_th [0.457/0.257/8.473] | tau 20.000 | 141s
  epoch  4300 | val 0.672 | best_train 0.662 | v_th [0.456/0.272/8.350] | tau 20.000 | 143s
  epoch  4350 | val 0.665 | best_train 0.662 | v_th [0.488/0.299/8.209] | tau 20.000 | 144s
  epoch  4400 | val 0.678 | best_train 0.662 | v_th [0.461/0.310/8.245] | tau 20.000 | 146s
  epoch  4450 | val 0.672 | best_train 0.662 | v_th [0.502/0.279/8.344] | tau 20.000 | 148s
  epoch  4500 | val 0.666 | best_train 0.662 | v_th [0.508/0.300/8.370] | tau 20.000 | 149s
  epoch  4550 | val 0.667 | best_train 0.662 | v_th [0.458/0.303/8.433] | tau 20.000 | 151s
  epoch  4600 | val 0.664 | best_train 0.662 | v_th [0.424/0.324/8.439] | tau 20.000 | 153s
  epoch  4650 | val 0.679 | best_train 0.662 | v_th [0.447/0.322/8.571] | tau 20.000 | 154s
  epoch  4700 | val 0.668 | best_train 0.662 | v_th [0.433/0.293/8.714] | tau 20.000 | 156s
  epoch  4750 | val 0.666 | best_train 0.662 | v_th [0.506/0.272/8.828] | tau 20.000 | 158s
  epoch  4800 | val 0.668 | best_train 0.665 | v_th [0.465/0.274/8.982] | tau 20.000 | 159s
  epoch  4850 | val 0.673 | best_train 0.665 | v_th [0.410/0.282/9.112] | tau 20.000 | 161s
  epoch  4900 | val 0.671 | best_train 0.670 | v_th [0.403/0.277/9.145] | tau 20.000 | 163s
  epoch  4950 | val 0.670 | best_train 0.670 | v_th [0.439/0.271/9.151] | tau 20.000 | 164s
  epoch  5000 | val 0.687 | best_train 0.672 | v_th [0.497/0.253/9.228] | tau 20.000 | 166s
  epoch  5050 | val 0.674 | best_train 0.672 | v_th [0.474/0.262/9.220] | tau 20.000 | 168s
