route,best_val,best_train,final_w_err,final_cos_o,avg_epoch_time,epochs,wall_time
hopfield,0.580000,0.540933,0.000000,1.000000,0.1379,3000,0.0
meanfield,0.550000,0.493050,0.029169,0.901886,0.1382,3000,0.0
